County,School District,fips,Graduation Rate,Recreational Status,first.treat,year,FRL_eligible_number,Total_student,FRL_eligible_percent,American Indian or Alaska Native,Asian,Hispanic/Latino,Black or African American,White,Native Hawaiian or Other Pacific Islander,Two or more races,Male,Female,TOTAL_ENROLLMENT
Carson City,Carson City,32510,85.7,0,0,2020,9255,15286.9717232232,0.605417486704727,0.0221468347948537,0.017666261281444,0.442232605773539,0.006848876656212,0.460474940792421,0.00281636049414325,0.0478141202073866,0.507008897138834,0.492991102861166,39082
Carson City,Carson City,32510,84,0,0,2019,10015,15982.1030411128,0.626638432641631,0.0213429549902153,0.0177348336594912,0.426675636007828,0.00703277886497065,0.478351272015656,0.00262964774951076,0.0462328767123288,0.511374755381605,0.488625244618395,40923
Carson City,Carson City,32510,86.8,0,0,2018,9509,15980.7158553233,0.595029664884034,0.0225660469667319,0.0184686888454012,0.42575831702544,0.00629892367906067,0.476761252446184,0.00226272015655577,0.0478840508806262,0.509601272015656,0.490398727984344,40925
Carson City,Carson City,32510,86,0,0,2017,7330,16170.4594183113,0.453295717232348,0.0232343721187535,0.0188087774294671,0.418280164730469,0.00553199336160797,0.486139283299527,0.00227426393754994,0.0457311451226259,0.513307517364313,0.486692482635688,40722
Carson City,Carson City,32510,83.9,0,0,2016,8152,15908.1130273976,0.512442926823582,0.0215000617817867,0.0184109724453231,0.418386259730631,0.00704312368713703,0.493389348819968,0.00271839861608798,0.0385518349190659,0.512541702706042,0.487458297293958,40465
Carson City,Carson City,32510,80.3,0,0,2015,5496,14217.3087322896,0.386571052474774,0.0209370611515384,0.0178731009830206,0.418741223030767,0.00625558534405719,0.496872207327971,0.00242563513340993,0.0368951870292353,0.511043023107366,0.488956976892634,0
Carson City,Carson City,32510,74.3,0,0,2014,7636,15296.0098528114,0.499215159605597,0.0233716475095785,0.0187739463601533,0.41507024265645,0.00587484035759898,0.499616858237548,0.00293742017879949,0.0343550446998723,0.514303959131545,0.485696040868455,0
Churchill County,Churchill,32001,79.9,1,2017,2020,6400,6400,1,0.0549092601209865,0.0162866449511401,0.242438343415542,0.0172173103769195,0.592213432604312,0.00822087792771832,0.0687141306033814,0.515743756786102,0.484256243213898,16141
Churchill County,Churchill,32001,76.9,1,2017,2019,3860,6722.16723600581,0.574219573015791,0.0535426140531025,0.0177497432888367,0.239254804166055,0.0211236614346487,0.59424966994279,0.00645445210503154,0.067625055009535,0.51840985770867,0.481590142291331,17090
Churchill County,Churchill,32001,72.9,1,2017,2018,3180,6791.82420907261,0.468209998096257,0.0558146313028272,0.014573010784028,0.236957155348295,0.0167589624016322,0.603322646458758,0.00699504517633343,0.0655785485281259,0.521130865636841,0.478869134363159,17190
Churchill County,Churchill,32001,76,1,2017,2017,3178,6747.61052243092,0.47098154071511,0.0598705501618123,0.0169167402177111,0.231391585760518,0.0173580464842601,0.601500441306267,0.00720800235363342,0.0657546337157988,0.525007355104443,0.474992644895558,17020
Churchill County,Churchill,32001,73.3,1,2017,2016,3158,6391.63380801882,0.494083374432064,0.061639549436796,0.0140801001251564,0.217772215269086,0.0156445556946183,0.618585732165207,0.00688360450563204,0.0653942428035044,0.519712140175219,0.480287859824781,15980
Churchill County,Churchill,32001,59.7,1,2017,2015,3130,6545.86598197642,0.478164387816407,0.0549954170485793,0.0164986251145738,0.212648945921173,0.0152765047357165,0.625114573785518,0.00763825236785823,0.0678276810265811,0.52153987167736,0.47846012832264,0
Churchill County,Churchill,32001,67.2,1,2017,2014,3380,6975.99750178945,0.484518522137226,0.0581495273560584,0.0194786594099112,0.209395588656545,0.0154683471784589,0.626468060727585,0.00658837009452879,0.0644514465769121,0.524491549699227,0.475508450300773,0
Clark County,Clark,32003,80.9,1,2017,2020,533616,613006.154939397,0.870490444019693,0.00343346017186201,0.0599406546884056,0.472062974069501,0.153244147367891,0.222910314240355,0.0163530353047905,0.0720554141571958,0.515219048459038,0.484780951540962,1589168
Clark County,Clark,32003,83.2,1,2017,2019,486069,640370.499231478,0.759043398444091,0.00342557988228352,0.0599310042214522,0.465275150928266,0.148731294729994,0.237230485240048,0.0161534853459624,0.069252999651995,0.516055136100226,0.483944863899775,1653739
Clark County,Clark,32003,85.8,1,2017,2018,449470,646532.346295918,0.695201102582232,0.00361802763403831,0.0619647332455872,0.463457620395579,0.146543641707084,0.241318536682112,0.0158664334781746,0.0672310068574245,0.515343562374917,0.484656437625083,1666443
