year,FIPS,FRL_eligible_number,Total_student,FRL_eligible_percent,state_name,LEAID,American Indian or Alaska Native,Asian,Hispanic/Latino,Black or African American,White,Native Hawaiian or Other Pacific Islander,Two or more races,Male,Female,TOTAL_ENROLLMENT
2011,32001,3236,7834.13032702102,0.413064356210488,NV,3200030,0.0586286005607953,0.0272750446087178,0.184552638287025,0.0196278358399184,0.651797094060668,0.00382360438439969,0.0542951822584757,0.514147336222279,0.485852663777721,3923
2011,32003,349706,618122.312631902,0.565755341383791,NV,3200060,0.00543717573181705,0.0652492996126331,0.430258010580795,0.124254143293831,0.301415452555536,0.0145087077773311,0.0588772104480565,0.51427258629602,0.48572741370398,313398
2011,32005,4596,12543.4904217586,0.366405190697761,NV,3200090,0.0359529112313077,0.0159083678014636,0.195513840279987,0.00493159401845371,0.690582246261534,0.00174992045816099,0.0553611199490932,0.521476296531976,0.478523703468024,6286
2011,32007,6607,19180.0318241887,0.344472838239385,NV,3200120,0.0609654598418643,0.0100915522263837,0.295359966708281,0.0110278818143987,0.617665418227216,0.0013524760715772,0.00353724511027882,0.517998335414066,0.482001664585934,9612
2011,32009,70,97.0020424923096,0.721634289355811,NV,3200150,0.03125,0.015625,0.375,0,0.5,0,0.078125,0.578125,0.421875,64
2011,32011,126,504.011823855737,0.249994135129784,NV,3200180,0.0316205533596838,0.00395256916996047,0.0948616600790514,0.00790513833992095,0.849802371541502,0,0.0118577075098814,0.458498023715415,0.541501976284585,253
2011,32013,2837,6842.14359557218,0.414636138568611,NV,3200210,0.0442374854481956,0.00727590221187427,0.344877764842841,0.00523864959254948,0.572176949941793,0.00174621653084983,0.0244470314318976,0.520081490104773,0.479918509895227,3436
2011,32015,618,2219.80694579094,0.278402588644843,NV,3200240,0.0423423423423423,0.00540540540540541,0.304504504504505,0.00990990990990991,0.622522522522523,0,0.0153153153153153,0.512612612612613,0.487387387387387,1110
2011,32017,996,1969.97441467688,0.505590322686179,NV,3200270,0.0203045685279188,0.0101522842639594,0.0954314720812183,0.0720812182741117,0.789847715736041,0.0121827411167513,0,0.563451776649746,0.436548223350254,985
2011,32019,6660,16456.3051877864,0.404708099661579,NV,3200300,0.0310386473429952,0.0108695652173913,0.243961352657005,0.00821256038647343,0.651328502415459,0.00519323671497585,0.0493961352657005,0.517149758454106,0.482850241545894,8280
2011,32021,478,1019.98019368076,0.468636550946212,NV,3200330,0.190291262135922,0.00194174757281553,0.149514563106796,0.0446601941747573,0.551456310679612,0.00194174757281553,0.0601941747572816,0.462135922330097,0.537864077669903,515
2011,32023,6351,10846.8314756667,0.585516610472613,NV,3200360,0.0205173951828724,0.0140945584299732,0.239250669045495,0.0333630686886708,0.670829616413916,0.0144513826940232,0.00749330954504906,0.526851025869759,0.473148974130241,5605
2011,32027,910,1379.99847602937,0.659421018071204,NV,3200420,0.0710144927536232,0.0072463768115942,0.304347826086957,0.00579710144927536,0.530434782608696,0.00144927536231884,0.0797101449275362,0.531884057971015,0.468115942028986,690
2011,32029,20,459.157655923155,0.0435580235720762,NV,3200450,0.0122249388753056,0.0220048899755501,0.100244498777506,0.0171149144254279,0.799511002444988,0.0122249388753056,0.0366748166259169,0.569682151589242,0.430317848410758,409
2011,32031,55998,126765.842684266,0.441743602332007,NV,3200480,0.0177479147358665,0.0471887550200803,0.373046030274946,0.0261044176706827,0.482839048501699,0.00848007414272475,0.0445937596540006,0.519168983626815,0.480831016373185,64740
2011,32033,1009,2636.16668288019,0.382752732045607,NV,3200510,0.0466431095406361,0.00636042402826855,0.154770318021201,0.00777385159010601,0.747703180212014,0.00282685512367491,0.0339222614840989,0.498939929328622,0.501060070671378,1415
2011,32510,7676,15270.2242907698,0.502677619780596,NV,3200390,0.0228058936579116,0.0163997437540038,0.392696989109545,0.00448430493273543,0.527610506085842,0.0025624599615631,0.0334401024983985,0.506470211402947,0.493529788597053,7805
2012,32001,3098,7128.38326176323,0.434600650138682,NV,3200030,0.0561197220737574,0.0232495991448423,0.192944949225013,0.0179048637092464,0.647781934794228,0.00507749866381614,0.0569214323890967,0.518973810796366,0.481026189203634,3742
2012,32003,333678,625024.202245632,0.533864126862828,NV,3200060,0.00527814431557747,0.0657937104218096,0.43526696929711,0.125368554634476,0.293754616797884,0.0146253843385589,0.0599126201945842,0.514161336961531,0.485838663038469,316778
2012,32005,4877,12239.4916837261,0.398464260283338,NV,3200090,0.0350105845953428,0.0153069532649406,0.197361993160723,0.00488519785051295,0.690766976062531,0.00162839928350432,0.0550398957824459,0.519947891222928,0.480052108777072,6141
2012,32007,6738,19640.53809406,0.343065957140848,NV,3200120,0.0596362897490602,0.00822919841511734,0.300518134715026,0.0109722645534898,0.612414914152189,0.00314944630702022,0.00507975210809713,0.513461343086457,0.486538656913543,9843
2012,32009,78,122.998797457482,0.63415254142597,NV,3200150,0.0298507462686567,0.0149253731343284,0.328358208955224,0,0.597014925373134,0,0.0298507462686567,0.537313432835821,0.462686567164179,67
2012,32011,130,501.015214624379,0.259473158110505,NV,3200180,0.025830258302583,0.003690036900369,0.0848708487084871,0,0.870848708487085,0,0.014760147601476,0.48339483394834,0.516605166051661,271
2012,32013,2744,6985.18574680092,0.392831357599431,NV,3200210,0.040274207369323,0.00828334761496715,0.344187375035704,0.00428449014567267,0.573550414167381,0.0025706940874036,0.0268494715795487,0.521850899742931,0.478149100257069,3501
2012,32015,632,2186.11871595928,0.28909683421409,NV,3200240,0.0421245421245421,0.00366300366300366,0.30952380952381,0.010989010989011,0.610805860805861,0,0.0228937728937729,0.513736263736264,0.486263736263736,1092
